LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1752172678.069408,283609.500,45109,2,GY,1,100,-1.007
1752172678.109908,283650.000,45109,2,GY,1,100,0.122
1752172678.149575,283689.667,45125,3,GY,1,100,1.038
1752172678.189242,283729.333,45125,3,GY,1,100,0.916
1752172678.228909,283769.000,45125,3,GY,1,100,0.336
1752172678.268909,283809.000,45142,2,GY,1,100,-0.214
1752172678.308910,283849.000,45142,2,GY,1,100,-0.214
1752172678.348910,283889.000,45162,3,GY,1,100,0.061
1752172678.388910,283929.000,45162,3,GY,1,100,0.793
1752172678.428911,283969.000,45162,3,GY,1,100,0.977
1752172678.468911,284009.000,45178,2,GY,1,100,0.732
1752172678.508911,284049.000,45178,2,GY,1,100,0.671
1752172678.548912,284089.000,45197,3,GY,1,100,0.519
1752172678.588912,284129.000,45197,3,GY,1,100,-0.153
1752172678.628912,284169.000,45197,3,GY,1,100,0.244
1752172678.668913,284209.000,45212,2,GY,1,100,1.038
1752172678.708913,284249.000,45212,2,GY,1,100,1.038
1752172678.748913,284289.000,45229,3,GY,1,100,0.671
1752172678.788914,284329.000,45229,3,GY,1,100,0.153
1752172678.828914,284369.000,45229,3,GY,1,100,0.122
1752172678.868914,284409.000,45245,3,GY,1,100,0.061
1752172678.908915,284449.000,45245,3,GY,1,100,-0.031
1752172678.948915,284489.000,45245,3,GY,1,100,0.336
1752172678.988915,284529.000,45267,2,GY,1,100,0.458
1752172679.028916,284569.000,45267,2,GY,1,100,0.946
1752172679.068916,284609.000,45281,3,GY,1,100,1.434
1752172679.108916,284649.000,45281,3,GY,1,100,0.427
1752172679.148917,284689.000,45281,3,GY,1,100,-0.916
1752172679.188917,284729.000,45298,2,GY,1,100,-1.007
1752172679.228917,284769.000,45298,2,GY,1,100,0.122
1752172679.268917,284809.000,45314,3,GY,1,100,1.404
1752172679.308918,284849.000,45314,3,GY,1,100,1.343
1752172679.348918,284889.000,45314,3,GY,1,100,1.129
1752172679.388918,284929.000,45334,2,GY,1,100,0.305
1752172679.428919,284969.000,45334,2,GY,1,100,0.397
1752172679.468919,285009.000,45350,3,GY,1,100,1.129
1752172679.508919,285049.000,45350,3,GY,1,100,0.427
1752172679.548920,285089.000,45350,3,GY,1,100,-0.153
1752172679.588920,285129.000,45369,2,GY,1,100,-0.702
1752172679.628920,285169.000,45369,2,GY,1,100,-0.427
1752172679.668921,285209.000,45386,3,GY,1,100,0.641
1752172679.708921,285249.000,45386,3,GY,1,100,0.763
1752172679.748921,285289.000,45386,3,GY,1,100,0.000
1752172679.788922,285329.000,45403,2,GY,1,100,0.671
1752172679.828922,285369.000,45403,2,GY,1,100,1.495
1752172679.868922,285409.000,45417,3,GY,1,100,0.732
