LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1752784464.997365,350310.333,54908,3,GX,1,100,6.439
1752784465.032698,350345.667,54908,3,GX,1,100,6.226
1752784465.068032,350381.000,54908,3,GX,1,100,2.594
1752784465.108032,350421.000,54925,3,GX,1,100,2.045
1752784465.148033,350461.000,54925,3,GX,1,100,1.251
1752784465.188033,350501.000,54925,3,GX,1,100,-1.526
1752784465.228033,350541.000,54940,2,GX,1,100,-3.693
1752784465.268034,350581.000,54940,2,GX,1,100,-5.280
1752784465.308034,350621.000,54956,3,GX,1,100,-4.791
1752784465.348035,350661.000,54956,3,GX,1,100,-3.143
1752784465.388035,350701.000,54956,3,GX,1,100,-1.282
1752784465.428035,350741.000,54975,2,GX,1,100,0.000
1752784465.468036,350781.000,54975,2,GX,1,100,1.434
1752784465.508036,350821.000,54992,3,GX,1,100,1.801
1752784465.548036,350861.000,54992,3,GX,1,100,0.214
1752784465.588037,350901.000,54992,3,GX,1,100,-2.045
1752784465.628037,350941.000,55008,2,GX,1,100,-2.777
1752784465.668037,350981.000,55008,2,GX,1,100,-2.045
1752784465.708038,351021.000,55023,3,GX,1,100,-0.671
1752784465.748038,351061.000,55023,3,GX,1,100,1.404
1752784465.788038,351101.000,55023,3,GX,1,100,0.854
1752784465.828039,351141.000,55043,2,GX,1,100,0.427
1752784465.868039,351181.000,55043,2,GX,1,100,1.038
1752784465.908039,351221.000,55059,3,GX,1,100,0.885
1752784465.948040,351261.000,55059,3,GX,1,100,-0.824
1752784465.988040,351301.000,55059,3,GX,1,100,-1.465
1752784466.028041,351341.000,55077,2,GX,1,100,-2.136
1752784466.068041,351381.000,55077,2,GX,1,100,-1.831
1752784466.108041,351421.000,55093,3,GX,1,100,-1.740
1752784466.148042,351461.000,55093,3,GX,1,100,-1.709
1752784466.188042,351501.000,55093,3,GX,1,100,-2.045
1752784466.228042,351541.000,55110,3,GX,1,100,-1.556
1752784466.268043,351581.000,55110,3,GX,1,100,-1.129
1752784466.308043,351621.000,55110,3,GX,1,100,-0.885
1752784466.348043,351661.000,55126,2,GX,1,100,-0.305
1752784466.388044,351701.000,55126,2,GX,1,100,-0.214
1752784466.428044,351741.000,55144,3,GX,1,100,0.427
1752784466.468044,351781.000,55144,3,GX,1,100,-0.122
1752784466.508045,351821.000,55144,3,GX,1,100,-1.038
1752784466.548045,351861.000,55160,2,GX,1,100,-1.617
1752784466.588045,351901.000,55160,2,GX,1,100,-0.946
1752784466.628046,351941.000,55179,3,GX,1,100,0.549
1752784466.668046,351981.000,55179,3,GX,1,100,1.038
1752784466.708046,352021.000,55179,3,GX,1,100,-0.549
1752784466.748547,352061.500,55195,2,GX,1,100,-2.960
1752784466.789047,352102.000,55195,2,GX,1,100,-3.998
1752784466.829048,352142.000,55215,3,GX,1,100,-3.815
1752784466.869048,352182.000,55215,3,GX,1,100,-1.556
1752784466.909048,352222.000,55215,3,GX,1,100,0.183
1752784466.949049,352262.000,55229,2,GX,1,100,0.702
1752784466.989049,352302.000,55229,2,GX,1,100,0.916
1752784467.029049,352342.000,55246,3,GX,1,100,1.099
1752784467.069050,352382.000,55246,3,GX,1,100,1.129
1752784467.109050,352422.000,55246,3,GX,1,100,2.075
1752784467.149050,352462.000,55263,2,GX,1,100,0.153
1752784467.189051,352502.000,55263,2,GX,1,100,-1.373
1752784467.229051,352542.000,55282,3,GX,1,100,-2.625
1752784467.269051,352582.000,55282,3,GX,1,100,-2.716
1752784467.309052,352622.000,55282,3,GX,1,100,4.578
1752784467.349052,352662.000,55296,2,GX,1,100,7.446
1752784467.389052,352702.000,55296,2,GX,1,100,3.235
1752784467.429053,352742.000,55316,3,GX,1,100,0.671
1752784467.469053,352782.000,55316,3,GX,1,100,-2.228
1752784467.509054,352822.000,55316,3,GX,1,100,-2.197
1752784467.549054,352862.000,55332,3,GX,1,100,0.336
1752784467.589054,352902.000,55332,3,GX,1,100,0.183
1752784467.629055,352942.000,55332,3,GX,1,100,-1.892
1752784467.669055,352982.000,55354,3,GX,1,100,-2.289
1752784467.709055,353022.000,55354,3,GX,1,100,-1.770
1752784467.749056,353062.000,55354,3,GX,1,100,-1.282
1752784467.789056,353102.000,55371,3,GX,1,100,-1.434
1752784467.829056,353142.000,55371,3,GX,1,100,-2.777
1752784467.869057,353182.000,55371,3,GX,1,100,-3.845
1752784467.909057,353222.000,55390,2,GX,1,100,-4.181
1752784467.949057,353262.000,55390,2,GX,1,100,-3.998
